#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
#------------------------------------------------------------------------------		
#		
# CODE		
#		
#------------------------------------------------------------------------------		
code.open_component_page	Open Component's Page	Öffnen Sie die Komponenten Seite
code.search_placeholder	Search for files...	Suche nach Dateien ...
code.search_placeholder.portfolio	Search for projects and sub-portfolios...	Suche nach Projekten und Teilportfolios ...
		
		
#------------------------------------------------------------------------------		
#		
# COMPONENT MEASURES		
#		
#------------------------------------------------------------------------------		
component_measures.details_are_not_available	Details are not available for estimated measures.	Details sind für geschätzte Maßnahmen nicht zur Verfügung.
component_measures.domain_x_overview	{0} Overview	{0} Übersicht
component_measures.domain_overview	Overview	Überblick
component_measures.files	files	Dateien
component_measures.show_metric_history	Show history of this metric	Show Geschichte dieser Metrik
component_measures.tab.tree	Tree	Baum
component_measures.tab.list	List	Aufführen
component_measures.tab.treemap	Treemap	Treemap
component_measures.view_as	View as	Ansicht als
component_measures.legend.color_x	Color: {0}	Farbe: {0}
component_measures.legend.size_x	Size: {0}	Größe: {0}
component_measures.legend.worse_of_x_y	Worse of {0} and {1}	Schlimmer noch {0} und {1}
component_measures.legend.help	Click to toggle visibility.	Klicken Sie auf Sichtbarkeit ändern.
component_measures.no_history	There isn't enough data to generate an activity graph.	Es gibt nicht genügend Daten, die ein Aktivitäts Graph zu erzeugen.
component_measures.not_found	The requested measure was not found.	Die beantragte Maßnahme wurde nicht gefunden.
component_measures.empty	No measures.	Keine Maßnahmen.
component_measures.to_select_files	to select files	um Dateien
component_measures.to_navigate	to navigate	navigieren
component_measures.to_navigate_files	to next/previous file	zum nächsten / vorherigen Datei
component_measures.hidden_best_score_metrics	There are {0} hidden components with a score of {1}.	Es gibt {0} versteckt Komponenten mit einer Punktzahl von {1}.
component_measures.skip_to_filters	Skip to measure filters	Weiter zu den Filter messen
		
component_measures.overview.project_overview.facet	Project Overview	Projektübersicht
component_measures.overview.project_overview.title	Risk	Risiko
component_measures.overview.project_overview.description	Get quick insights into the operational risks. Any color but green indicates immediate risks: Bugs or Vulnerabilities that should be examined. A position at the top or right of the graph means that the longer-term health may be at risk. Green bubbles at the bottom-left are best.	Schneller Einblick in die operationellen Risiken. Jede Farbe, sondern grün zeigt unmittelbare Gefahren: Bugs oder Schwachstellen, die untersucht werden sollen. Eine Position am oberen oder rechts neben der Grafik bedeutet, dass die längerfristige Gesundheit gefährdet sein könnte. Grüne Blasen an der linken unteren Ecke sind am besten.
component_measures.overview.Reliability.description	See bugs' operational risks. The closer a bubble's color is to red, the more severe the worst bugs are. Bubble size indicates bug volume, and each bubble's vertical position reflects the estimated time to address the bugs. Small green bubbles on the bottom edge are best.	Siehe Fehler operationellen Risiken. Je näher eine Blase Farbe rot ist, desto schwerwiegender ist die schlimmsten Bugs sind. Blasengröße gibt an Bug Volumen und jede Blase der vertikale Position spiegelt die geschätzte Zeit, um die Fehler zu beheben. Kleine grüne Blasen am unteren Rand sind am besten.
component_measures.overview.Security.description	See vulnerabilities' operational risks. The closer a bubble's color is to red, the more severe the worst vulnerabilities are. Bubble size indicates vulnerability volume, and each bubble's vertical position reflects the estimated time to address the vulnerabilities. Small green bubbles on the bottom edge are best.	Siehe Verwundbarkeiten operationellen Risiken. Je näher eine Blase Farbe rot ist, desto schwerwiegender ist die schlimmsten Schwachstellen sind. Blasengröße zeigt Verwundbarkeit Volumen und jede Blase der vertikale Position spiegelt die geschätzte Zeit, um die Schwachstellen zu beseitigen. Kleine grüne Blasen am unteren Rand sind am besten.
component_measures.overview.Maintainability.description	See code smells' long-term risks. The closer a bubble's color is to red, the higher the ratio of technical debt is. Bubble size indicates code smell volume, and each bubble's vertical position reflects the estimated time to address the code smells. Small green bubbles on the bottom edge are best.	Siehe Code Smells' langfristigen Risiken. Je näher eine Blase Farbe rot ist, je höher das Verhältnis von technischen Schulden. Blasengröße zeigt Codegeruch Volumen und jede Blase der vertikale Position spiegelt die geschätzte Zeit bis zum Adresse des Code riecht. Kleine grüne Blasen am unteren Rand sind am besten.
component_measures.overview.Coverage.description	See missing test coverage's long-term risks. Bubble size indicates the volume of uncovered lines, and each bubble's vertical position reflects the volume of missing coverage. Small bubbles on the bottom edge are best.	Siehe Langzeit der Testabdeckung Risiken fehlen. Blasengröße gibt das Volumen der ungedeckten Linien und jede Blase der vertikale Position spiegelt das Volumen der Abdeckung fehlt. Kleine Blasen am unteren Rand sind am besten.
component_measures.overview.Duplications.description	See duplications' long-term risks. Bubble size indicates the volume of duplicated blocks, and each bubble's vertical position reflects the volume of lines in those blocks. Small bubbles on the bottom edge are best.	Siehe Vervielfältigungen langfristigen Risiken. Blasengröße gibt das Volumen der duplizierten Blöcke und jede Blase der vertikale Position zeigt Volumen von Linien in diesen Blöcken. Kleine Blasen am unteren Rand sind am besten.
		
component_measures.domain_facets.Reliability.help	Issues in this domain mark code where you will get behavior other than what was expected.	Probleme in diesem Bereich Zeichen Code, wo Sie Verhalten bekommen andere als das, was erwartet wurde.
component_measures.domain_facets.Maintainability.help	Issues in this domain mark code that will be more difficult to update competently than it should.	Probleme in diesem Bereich Zeichen-Code, wird es schwieriger zu aktualisieren kompetent als es sollte.
component_measures.domain_facets.Security.help	Issues in this domain mark potential weaknesses to hackers.	Probleme in diesem Bereich markieren potenzielle Schwachstellen für Hacker.
component_measures.domain_facets.SecurityReview.help	This domain represents potential security risks in the form of hotspots and their review status.	Dieser Bereich stellt ein potenzielles Sicherheitsrisiko in Form von Hotspots und deren Prüfungsstatus.
component_measures.domain_facets.Complexity.help	How simple or complicated the control flow of the application is. Cyclomatic Complexity measures the minimum number of test cases required for full test coverage. Cognitive Complexity is a measure of how difficult the application is to understand	Wie einfach oder kompliziert der Steuerungsablauf der Anwendung ist. Zyklomatische Komplexität misst die minimale Anzahl von Testfällen für die vollständige Testabdeckung erforderlich. Kognitive Komplexität ist ein Maß dafür, wie schwierig die Anwendung zu verstehen,
		
component_measures.facet_category.new_code_category	On new code	Auf neuen Code
component_measures.facet_category.overall_category	Overall	Insgesamt
component_measures.facet_category.overall_category.estimated	Estimated after merge	Geschätzte nach merge
component_measures.facet_category.tests_category	Tests	Tests
component_measures.bubble_chart.zoom_level	Current zoom level. Scroll on the chart to zoom or unzoom, click here to reset.	Aktuelle Zoomstufe. Blättern Sie auf der Karte zu vergrößern oder unzoom, klicken Sie hier zurücksetzen.
		
#------------------------------------------------------------------------------		
#		
# ABOUT PAGE		
#		
#------------------------------------------------------------------------------		
about_page.projects_analyzed	Projects	Projekte
about_page.read_more	Read More	Weiterlesen
about_page.read_documentation	Read documentation	lesen Sie Dokumentation
		
about_page.languages	Multi-Language	Multi-Language
about_page.languages.text	20+ programming languages are supported by SonarQube, including:	20+ Programmiersprachen werden von Sonarqube, einschließlich unterstützt:
		
about_page.quality_model	Quality Model	Qualitätsmodell
about_page.quality_model.bugs	track code that is demonstrably wrong or highly likely to yield unexpected behavior.	verfolgt Code, die nachweislich falsch ist oder sehr wahrscheinlich ein unerwartetes Verhalten zu ergeben.
about_page.quality_model.vulnerabilities	are raised on code that can be exploited by hackers.	werden auf Code ausgelöst, die von Hackern ausgenutzt werden kann.
about_page.quality_model.code_smells	will confuse maintainers or give them pause. They are measured primarily in terms of the time they will take to fix.	wird Maintainer verwirren oder pausieren geben. Sie werden vor allem in Bezug auf die Zeit gemessen, sie zu beheben nehmen.
about_page.quality_model.security_hotspots	are raised on security-sensitive code that requires manual review to assess whether or not a vulnerability exists.	auf sicherheitsempfindlichen Code ausgelöst, die manuelle Überprüfung erfordert zu beurteilen, ob eine Sicherheitslücke existiert.
		
about_page.clean_code	Write Clean Code	Schreiben Clean Code
about_page.clean_code.text	By fixing new issues as they appear in code, you create and maintain a clean code base. Even on legacy projects, focusing on keeping new code clean will eventually yield a code base you can be proud of.	Durch die Festlegung neue Fragen, wie sie im Code erscheinen, erstellen Sie und pflegen eine saubere Code-Basis. Auch auf Legacy-Projekte, wobei der Schwerpunkt auf neuen Code sauber zu halten wird schließlich eine Code-Basis liefern Sie stolz sein können.
		
about_page.fix_the_leak	Clean as You Code	Sauber wie Sie Code
about_page.fix_the_leak_on_new_code.text	The Clean as You Code approach and the default Quality Gate are based on the new code period - the recent period against which you're tracking issues. For some previous_version makes the most sense, for others the last 30 days is a good option.	Der Clean as You-Code Ansatz und die Standard-Quality Gate sind auf der neuen Codeperiode basieren - die letzte Zeit, gegen denen Sie Fragen sind zu verfolgen. Für einige previous_version am meisten Sinn macht, für andere die letzten 30 Tage ist eine gute Option.
		
about_page.quality_gates	Enforce Quality Gate	Erzwingen Quality Gate
about_page.quality_gates.text	Your project's Quality Gate is the set of conditions the project must meet before it can be released into production. The Quality Gate is designed to ensure that the next version's quality will be better than the last.	Ihr Projekt Quality Gate ist die Menge der Bedingungen das Projekt erfüllen muss, bevor es in die Produktion freigegeben werden kann. Das Quality Gate wird entwickelt, um sicherzustellen, dass die Qualität der nächsten Version wird besser sein als die anderen.
